classifier_name,dataset_name,accuracy
Arsenal,59,49.33
Arsenal,60,100
Arsenal,61,91
Arsenal,62,81.86
Arsenal,63,92.17
Arsenal,64,90.97
Arsenal,65,98.08
Arsenal,66,97.83
Arsenal,67,96.32
Arsenal,68,97.38
Arsenal,69,96.49
Arsenal,70,92.3
Arsenal,71,100
Arsenal,72,99.91
Arsenal,73,100
Arsenal,74,97.48
Arsenal,75,85.56
Arsenal,76,77.07
Arsenal,77,79.25
Arsenal,78,83.33
Arsenal,79,74.29
Arsenal,80,72.72
Arsenal,81,77.92
Arsenal,82,100
Arsenal,83,99.82
Arsenal,84,90.53
